event_id,semantic_type,domain,attempts,selected,abstains,oracle_accuracy,full_closure_accuracy,strict_event_success
EXT_E029,GENERAL_RULE_EXCEPTION,digital_identity,3,3,0,1.0,1.0,True
EXT_E030,GENERAL_RULE_EXCEPTION,digital_identity,3,3,0,1.0,1.0,True
EXT_E031,TEMPORAL_VERSION,web_accessibility,3,1,2,0.3333333333333333,0.3333333333333333,False
EXT_E032,GENERAL_RULE_EXCEPTION,web_accessibility,3,0,3,0.0,0.0,False
EXT_E033,CROSS_SENTENCE_SCOPE,web_accessibility,3,0,3,0.0,0.0,False
EXT_E034,TEMPORAL_VERSION,web_accessibility,3,3,0,1.0,1.0,True
EXT_E035,GENERAL_RULE_EXCEPTION,web_accessibility,3,2,1,0.0,0.0,False
EXT_E036,CROSS_SENTENCE_SCOPE,web_accessibility,3,0,3,0.0,0.0,False
EXT_E037,TEMPORAL_VERSION,web_accessibility,3,1,2,0.3333333333333333,0.3333333333333333,False
EXT_E038,GENERAL_RULE_EXCEPTION,web_accessibility,3,3,0,1.0,1.0,True
EXT_E039,CROSS_SENTENCE_SCOPE,web_accessibility,3,0,3,0.0,0.0,False
EXT_E040,CROSS_SENTENCE_SCOPE,web_accessibility,3,0,3,0.0,0.0,False
EXT_E041,GENERAL_RULE_EXCEPTION,web_accessibility,3,0,3,0.0,0.0,False
EXT_E042,GENERAL_RULE_EXCEPTION,web_accessibility,3,0,3,0.0,0.0,False
EXT_E043,TEMPORAL_VERSION,digital_identity,3,0,3,0.0,0.0,False
EXT_E044,TEMPORAL_VERSION,digital_identity,3,2,1,0.6666666666666666,0.6666666666666666,False
EXT_E045,GENERAL_RULE_EXCEPTION,digital_identity,3,0,3,0.0,0.0,False
EXT_E046,GENERAL_RULE_EXCEPTION,digital_identity,3,0,3,0.0,0.0,False
EXT_E047,CROSS_SENTENCE_SCOPE,digital_identity,3,0,3,0.0,0.0,False
EXT_E048,GENERAL_RULE_EXCEPTION,digital_identity,3,0,3,0.0,0.0,False
EXT_E050,CROSS_SENTENCE_SCOPE,digital_identity,3,0,3,0.0,0.0,False
EXT_E051,CROSS_SENTENCE_SCOPE,digital_identity,3,0,3,0.0,0.0,False
EXT_E052,GENERAL_RULE_EXCEPTION,digital_identity,3,0,3,0.0,0.0,False
EXT_E053,CROSS_SENTENCE_SCOPE,digital_identity,3,0,3,0.0,0.0,False
EXT_E054,GENERAL_RULE_EXCEPTION,digital_identity,3,0,3,0.0,0.0,False
EXT_E055,GENERAL_RULE_EXCEPTION,digital_identity,3,0,3,0.0,0.0,False
EXT_E057,TEMPORAL_VERSION,eu_regulation,3,0,3,0.0,0.0,False
EXT_E058,GENERAL_RULE_EXCEPTION,eu_regulation,3,0,3,0.0,0.0,False
EXT_E059,CROSS_SENTENCE_SCOPE,eu_regulation,3,0,3,0.0,0.0,False
EXT_E060,TEMPORAL_VERSION,eu_regulation,3,0,3,0.0,0.0,False
EXT_E061,GENERAL_RULE_EXCEPTION,eu_regulation,3,0,3,0.0,0.0,False
EXT_E062,CROSS_SENTENCE_SCOPE,eu_regulation,3,0,3,0.0,0.0,False
EXT_E063,TEMPORAL_VERSION,us_regulation,3,1,2,0.3333333333333333,0.3333333333333333,False
EXT_E064,CROSS_SENTENCE_SCOPE,us_regulation,3,0,3,0.0,0.0,False
EXT_E065,GENERAL_RULE_EXCEPTION,us_regulation,3,0,3,0.0,0.0,False
EXT_E066,TEMPORAL_VERSION,us_regulation,3,0,3,0.0,0.0,False
EXT_E067,CROSS_SENTENCE_SCOPE,us_regulation,3,0,3,0.0,0.0,False
EXT_E068,GENERAL_RULE_EXCEPTION,us_regulation,3,0,3,0.0,0.0,False
EXT_E069,TEMPORAL_VERSION,insurance,3,0,3,0.0,0.0,False
EXT_E070,TEMPORAL_VERSION,insurance,3,0,3,0.0,0.0,False
EXT_E071,TEMPORAL_VERSION,insurance,3,0,3,0.0,0.0,False
EXT_E072,TEMPORAL_VERSION,insurance,3,0,3,0.0,0.0,False
EXT_E073,TEMPORAL_VERSION,insurance,3,0,3,0.0,0.0,False
EXT_E074,TEMPORAL_VERSION,insurance,3,0,3,0.0,0.0,False
EXT_E075,TEMPORAL_VERSION,insurance,3,0,3,0.0,0.0,False
EXT_E076,TEMPORAL_VERSION,insurance,3,0,3,0.0,0.0,False
EXT_E077,TEMPORAL_VERSION,insurance,3,0,3,0.0,0.0,False
EXT_E078,TEMPORAL_VERSION,insurance,3,0,3,0.0,0.0,False
EXT_E079,TEMPORAL_VERSION,insurance,3,0,3,0.0,0.0,False
EXT_E080,TEMPORAL_VERSION,insurance,3,0,3,0.0,0.0,False
EXT_E081,TEMPORAL_VERSION,insurance,3,0,3,0.0,0.0,False
EXT_E082,TEMPORAL_VERSION,insurance,3,0,3,0.0,0.0,False
EXT_E083,TEMPORAL_VERSION,insurance,3,0,3,0.0,0.0,False
EXT_E084,TEMPORAL_VERSION,insurance,3,0,3,0.0,0.0,False
EXT_E085,TEMPORAL_VERSION,insurance,3,0,3,0.0,0.0,False
EXT_E086,TEMPORAL_VERSION,eu_regulation,3,3,0,1.0,1.0,True
EXT_E087,TEMPORAL_VERSION,eu_regulation,3,2,1,0.6666666666666666,0.6666666666666666,False
EXT_E088,TEMPORAL_VERSION,eu_regulation,3,3,0,1.0,1.0,True
EXT_E089,TEMPORAL_VERSION,eu_regulation,3,3,0,1.0,1.0,True
EXT_E090,TEMPORAL_VERSION,eu_regulation,3,2,1,0.6666666666666666,0.6666666666666666,False
EXT_E091,TEMPORAL_VERSION,eu_regulation,3,3,0,1.0,1.0,True
EXT_E092,TEMPORAL_VERSION,eu_regulation,3,3,0,1.0,1.0,True
EXT_E093,TEMPORAL_VERSION,eu_regulation,3,3,0,1.0,1.0,True
EXT_E094,TEMPORAL_VERSION,eu_regulation,3,3,0,1.0,1.0,True
EXT_E095,TEMPORAL_VERSION,eu_regulation,3,3,0,1.0,1.0,True
EXT_E096,TEMPORAL_VERSION,eu_regulation,3,3,0,1.0,1.0,True
EXT_E097,TEMPORAL_VERSION,eu_regulation,3,3,0,1.0,1.0,True
EXT_E098,TEMPORAL_VERSION,eu_regulation,3,3,0,1.0,1.0,True
EXT_E099,TEMPORAL_VERSION,eu_regulation,3,3,0,1.0,1.0,True
EXT_E100,TEMPORAL_VERSION,us_regulation,3,3,0,1.0,1.0,True
EXT_E101,TEMPORAL_VERSION,us_regulation,3,2,1,0.6666666666666666,0.6666666666666666,False
EXT_E102,TEMPORAL_VERSION,us_regulation,3,3,0,1.0,1.0,True
EXT_E103,TEMPORAL_VERSION,us_regulation,3,3,0,1.0,1.0,True
EXT_E104,TEMPORAL_VERSION,us_regulation,3,3,0,1.0,1.0,True
EXT_E105,TEMPORAL_VERSION,us_regulation,3,3,0,1.0,1.0,True
EXT_E106,TEMPORAL_VERSION,us_regulation,3,2,1,0.6666666666666666,0.6666666666666666,False
EXT_E107,TEMPORAL_VERSION,us_regulation,3,2,1,0.6666666666666666,0.6666666666666666,False
EXT_E108,TEMPORAL_VERSION,us_regulation,3,3,0,1.0,1.0,True
EXT_E109,TEMPORAL_VERSION,us_regulation,3,0,3,0.0,0.0,False
EXT_E110,TEMPORAL_VERSION,us_regulation,3,1,2,0.3333333333333333,0.3333333333333333,False
EXT_E111,TEMPORAL_VERSION,us_regulation,3,3,0,1.0,1.0,True
EXT_E112,TEMPORAL_VERSION,us_regulation,3,3,0,1.0,1.0,True
EXT_E113,TEMPORAL_VERSION,us_regulation,3,2,1,0.6666666666666666,0.6666666666666666,False
EXT_E114,TEMPORAL_VERSION,cybersecurity_controls,3,3,0,1.0,1.0,True
EXT_E115,TEMPORAL_VERSION,cybersecurity_controls,3,3,0,1.0,1.0,True
EXT_E116,TEMPORAL_VERSION,cybersecurity_controls,3,3,0,1.0,1.0,True
EXT_E117,TEMPORAL_VERSION,cybersecurity_controls,3,3,0,1.0,1.0,True
EXT_E118,TEMPORAL_VERSION,cybersecurity_controls,3,3,0,1.0,1.0,True
