event_id,semantic_type,run,seed,status,runtime_ms,done_reason,prompt_eval_count,eval_count,json_valid,schema_valid,validation_reason,abstain,forbidden_markers,candidate_blind_input,output_file,error
EXT_E015,CROSS_SENTENCE_SCOPE,3,20260822,GENERATED,9489,stop,891,294,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E015-run3-seed20260822.json,
EXT_E015,CROSS_SENTENCE_SCOPE,4,20260823,GENERATED,10710,stop,891,266,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E015-run4-seed20260823.json,
EXT_E015,CROSS_SENTENCE_SCOPE,5,20260824,GENERATED,9027,stop,891,291,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E015-run5-seed20260824.json,
EXT_E016,CROSS_SENTENCE_SCOPE,1,20260820,GENERATED,8532,stop,896,292,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E016-run1-seed20260820.json,
EXT_E016,CROSS_SENTENCE_SCOPE,2,20260821,GENERATED,9838,stop,896,292,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E016-run2-seed20260821.json,
EXT_E016,CROSS_SENTENCE_SCOPE,3,20260822,GENERATED,12718,stop,896,381,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E016-run3-seed20260822.json,
EXT_E016,CROSS_SENTENCE_SCOPE,4,20260823,GENERATED,9188,stop,896,274,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E016-run4-seed20260823.json,
EXT_E016,CROSS_SENTENCE_SCOPE,5,20260824,GENERATED,9755,stop,896,292,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E016-run5-seed20260824.json,
EXT_E017,CROSS_SENTENCE_SCOPE,1,20260820,GENERATED,9301,stop,898,325,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E017-run1-seed20260820.json,
EXT_E017,CROSS_SENTENCE_SCOPE,2,20260821,GENERATED,10865,stop,898,295,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E017-run2-seed20260821.json,
EXT_E017,CROSS_SENTENCE_SCOPE,3,20260822,GENERATED,10975,stop,898,327,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E017-run3-seed20260822.json,
EXT_E017,CROSS_SENTENCE_SCOPE,4,20260823,GENERATED,10175,stop,898,368,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E017-run4-seed20260823.json,
EXT_E017,CROSS_SENTENCE_SCOPE,5,20260824,GENERATED,10202,stop,898,298,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E017-run5-seed20260824.json,
EXT_E018,CROSS_SENTENCE_SCOPE,1,20260820,GENERATED,9391,stop,898,307,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E018-run1-seed20260820.json,
EXT_E018,CROSS_SENTENCE_SCOPE,2,20260821,GENERATED,11492,stop,898,346,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E018-run2-seed20260821.json,
EXT_E018,CROSS_SENTENCE_SCOPE,3,20260822,GENERATED,10125,stop,898,345,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E018-run3-seed20260822.json,
EXT_E018,CROSS_SENTENCE_SCOPE,4,20260823,GENERATED,11217,stop,898,357,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E018-run4-seed20260823.json,
EXT_E018,CROSS_SENTENCE_SCOPE,5,20260824,GENERATED,9079,stop,898,334,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E018-run5-seed20260824.json,
EXT_E019,CROSS_SENTENCE_SCOPE,1,20260820,GENERATED,9760,stop,902,305,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E019-run1-seed20260820.json,
EXT_E019,CROSS_SENTENCE_SCOPE,2,20260821,GENERATED,10951,stop,902,305,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E019-run2-seed20260821.json,
EXT_E019,CROSS_SENTENCE_SCOPE,3,20260822,GENERATED,10709,stop,902,344,True,True,ok,False,,True,output\auto-policy-v2\raw\EXT_E019-run3-seed20260822.json,
